,,,Juan Yuan Limited Product Catalog,,,,,,,,,,
Series,Barcode,Product Name,Packaging Language,Product Image,Packing Size,Pcs/Carton,Carton/Pallet,"Shelf Life
(from production)",Carton Size(cm),G.W. (KGS),Cuft / CBM,Remark,
Whey Protein Isolate,4713025600822,TRYALL Impact Whey Protein Isolate - Milk Tea (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025601706,TRYALL Impact Whey Protein Isolate - Brown Sugar Milk Tea (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025601713,TRYALL Impact Whey Protein Isolate - Boba Milk Tea (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025601751,TRYALL Impact Whey Protein Isolate - Oolong Milk Tea (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025601492,TRYALL Impact Whey Protein Isolate - Thai Milk Tea (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025601287,TRYALL Impact Whey Protein Isolate - Matcha (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.05,,
,4713025601119,TRYALL Impact Whey Protein Isolate - Chocolate (35g/pack),Madarin+English,,35g,300,16,730,54*40*34,12.50, 1.46/0.06,,
,4713025605803,TRYALL Impact Whey Protein Isolate - Oolong Milk Tea (35g/pack) (English + French),English + French,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025605810,TRYALL Impact Whey Protein Isolate - Brown Sugar Milk Tea (35g/pack) (English + French),English + French,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025605827,TRYALL Impact Whey Protein Isolate - Boba Milk Tea (35g/pack) (English + French),English + French,,35g,300,16,730,54*40*34,12.50, 1.46/0.04,,
,4713025602321,TRYALL Essential Light Isolate Protein - Boba Milk Tea(35g/包),Madarin,,35g,250,32,730,53*38*29,10.00, 2.062/0.058,,
,4713025602857,TRYALL Essential Light Isolate Protein - Tie Guan Yin Milk Tea (36g/包),Madarin,,36g,250,32,730,53*38*29,10.00, 2.062/0.058,,
